date,Mkt,SMB,HML,RMW,CMA,RF
199007,1.98,2.67,0.5,-0.37,0.64,0.68
199008,-11.15,-0.61,0.36,0.94,0,0.66
199009,-14.55,3.32,1.36,-0.33,0.8,0.6
199010,15.04,-9.31,-5.6,1.84,2.35,0.68
199011,-8.03,1.45,2.1,1.77,-1.7,0.57
199012,0.44,-2.3,-1.88,1.32,0.96,0.6
199101,1.4,-4.62,0.25,1.32,-0.67,0.52
199102,10.01,1.88,0.67,-1.68,0.11,0.48
199103,-4.76,2.2,-0.25,1.14,-1.02,0.44
199104,0.96,-0.16,-0.23,0.57,0.32,0.53
199105,-0.84,-1.34,0.23,0.34,0.92,0.47
199106,-6.72,1.98,1.26,0.9,0.01,0.42
199107,3.03,-2.11,0.74,1.57,-0.16,0.49
199108,-3.33,0.17,-0.03,2.03,-0.69,0.46
199109,5.55,-0.32,-0.17,0.04,0.1,0.46
199110,1.41,-1.05,-2.25,-1.36,0.32,0.42
199111,-5.57,1.56,-0.61,0.83,-0.4,0.39
199112,3.78,-1.53,-0.86,0.31,-0.33,0.38
199201,-2.97,1.57,1.88,1.36,0.37,0.34
199202,-3.72,3.01,0.31,1.35,1.25,0.28
199203,-7.32,2.48,1.65,1.5,-0.14,0.34
199204,-1.13,0.97,3.02,4.56,1.16,0.32
199205,6.63,0.22,0.32,-1.4,0.87,0.28
199206,-4.62,2.34,0.34,1.52,0.12,0.32
199207,-3.46,-2.22,-1.35,0.16,1.27,0.31
199208,5.86,-5.07,-3.12,-1.98,1.37,0.26
199209,-3.02,-0.32,-0.99,-0.31,0.54,0.26
199210,-5.7,-1.51,1.14,-0.23,-1.61,0.23
199211,0.23,-2.59,-1.22,0.08,1.2,0.23
199212,0.21,1.2,-0.23,2.03,0.42,0.28
199301,-0.09,1.35,1.52,-0.17,0.56,0.23
199302,3.2,0.58,0.69,-0.82,-0.08,0.22
199303,10.01,0.07,1.32,0.48,1.93,0.25
199304,9.38,0.85,2.42,-2.2,2.28,0.24
199305,3.29,5.58,-0.57,-3,1.2,0.22
199306,-3.54,-0.79,-0.96,-1.12,1.12,0.25
199307,3.94,-3.24,0.71,-0.03,1.65,0.24
199308,4.81,1.23,1.59,-0.03,-0.61,0.25
199309,-3.07,1.44,0.28,1.59,-1.75,0.26
199310,0.94,-1.39,0.35,0.37,-0.73,0.22
199311,-9.12,3.74,0.43,1.45,-3.33,0.25
199312,5.72,0.07,2.8,-1.59,-0.13,0.23
199401,10.21,0.51,3.98,-3.32,4.94,0.25
199402,-0.34,1.06,1.24,0.36,1.81,0.21
199403,-3.12,1.7,1.79,0.26,0.2,0.27
199404,3.26,0.38,0.92,-1.08,1.46,0.27
199405,-0.72,-0.72,1.34,-1.14,1.85,0.32
199406,1.84,-0.87,0.74,-0.07,1.47,0.31
199407,0.19,0.39,0.93,1.15,-0.96,0.28
199408,1.07,-0.97,-0.84,1.69,-0.6,0.37
199409,-3.14,1.35,0.36,0.32,-0.19,0.37
199410,2.51,-1.83,0.7,-0.32,1.18,0.38
199411,-5.85,-0.7,0.62,0.49,0.4,0.37
199412,0.7,-0.4,-0.64,-0.53,1.08,0.44
199501,-4.65,1.64,0.11,0.72,-0.22,0.42
199502,-1.27,0.84,0.64,0.7,-1.34,0.4
199503,5.55,-3.07,-1.62,2.26,-0.12,0.46
199504,2.95,-1.8,-0.73,-0.88,0.52,0.45
199505,-2.01,1.04,0.16,0.87,-1.89,0.54
199506,-1.72,0.9,0.76,2.39,-2.29,0.47
199507,4.81,-0.94,-1.81,-1.41,0.8,0.45
199508,-3.32,2.38,-1.49,1.33,0.54,0.47
199509,0.52,-0.85,-1.11,1.72,-1.53,0.43
199510,-2.31,0.04,-0.01,0.29,-0.59,0.47
199511,1.73,-1.68,-0.38,-2.65,2.69,0.42
199512,2.96,0.09,1.27,-1.88,0.84,0.49
199601,0.26,1.81,1.32,0.26,-0.49,0.43
